left,right
00f,365
00f,366
00f,369
00f,36a
00f,36c
00f,393
00f,399
00f,39a
00f,3a9
00f,3aa
00f,451
00f,464
00f,475
00f,4d9
00f,4e5
00f,4e9
00f,4ea
00f,4ec
00f,555
00f,559
00f,55a
00f,55c
00f,56c
00f,599
00f,653
00f,655
00f,665
00f,666
00f,6a5
00f,715
011,02e
011,04e
011,066
011,06a
011,06c
011,06f
011,07e
011,0aa
011,0af
011,0ca
011,0cc
011,0cf
011,0e2
011,0e7
011,0e8
011,0eb
011,0ed
011,0fa
011,10e
011,146
011,14a
011,14c
011,14f
011,15e
011,168
011,16d
011,17a
011,18a
011,18f
011,1c7
011,1cb
011,1cd
011,1da
011,1e9
011,20e
011,226
011,22f
011,246
011,24a
011,24c
011,24f
011,25e
011,262
011,264
011,267
011,26b
011,26d
011,276
011,28a
011,28c
011,28f
011,2a2
011,2a7
011,2ab
011,2ad
011,2c7
011,2cb
011,2cd
011,2da
011,2dc
011,2e3
011,2e5
011,2e9
011,2f2
011,306
011,30a
011,30c
011,30f
011,31e
011,32d
011,347
011,34b
011,34d
011,356
011,35a
011,35c
011,365
011,369
011,372
011,387
011,38b
011,38d
011,39a
011,3a9
011,44a
011,44c
011,44f
011,464
011,46d
011,4ad
011,4cb
011,4cd
011,4e5
011,4e9
011,50c
011,54d
011,55a
011,55c
011,58d
011,60f
011,647
011,64b
011,64d
011,665
011,68b
011,68d
011,6a5
011,70d
01b,044
01b,060
01b,065
01b,066
01b,06c
01b,0c5
01b,0cc
01b,0e1
01b,0e2
01b,0e7
01b,0e8
01b,0ed
01b,0ee
01b,145
01b,146
01b,14c
01b,168
01b,16d
01b,16e
01b,1c7
01b,1cd
01b,1ce
01b,1e9
01b,1ea
01b,204
01b,225
01b,226
01b,245
01b,246
01b,24c
01b,254
01b,261
01b,262
01b,267
01b,26d
01b,26e
01b,275
01b,276
01b,285
01b,28c
01b,2a1
01b,2a2
01b,2a7
01b,2ad
01b,2ae
01b,2c7
01b,2cd
01b,2ce
01b,2d5
01b,2dc
01b,2e3
01b,2e9
01b,2ea
01b,2f1
01b,2f2
01b,305
01b,306
01b,30c
01b,32d
01b,32e
01b,347
01b,34d
01b,34e
01b,355
01b,356
01b,35c
01b,369
01b,36a
01b,371
01b,372
01b,387
01b,38d
01b,38e
01b,3a9
01b,3aa
01b,445
01b,44c
01b,46d
01b,46e
01b,475
01b,4ad
01b,4cd
01b,4e9
01b,4ea
01b,4f1
01b,50c
01b,54d
01b,54e
01b,555
01b,55c
01b,58d
01b,605
01b,647
01b,64d
01b,64e
01b,655
01b,68d
01b,70d
01b,70e
01b,715
01d,042
01d,060
01d,066
01d,06a
01d,072
01d,0aa
01d,0c3
01d,0ca
01d,0e1
01d,0e7
01d,0e8
01d,0eb
01d,0ee
01d,0f3
01d,0fa
01d,146
01d,14a
01d,152
01d,168
01d,16e
01d,17a
01d,18a
01d,1c7
01d,1cb
01d,1ce
01d,1d3
01d,1da
01d,1e9
01d,202
01d,226
01d,243
01d,246
01d,24a
01d,252
01d,261
01d,264
01d,267
01d,26b
01d,26e
01d,273
01d,276
01d,283
01d,28a
01d,2a1
01d,2a7
01d,2ab
01d,2ae
01d,2b3
01d,2c7
01d,2cb
01d,2ce
01d,2d3
01d,2da
01d,2e5
01d,2e9
01d,2ec
01d,2f1
01d,306
01d,30a
01d,312
01d,32e
01d,347
01d,34b
01d,34e
01d,353
01d,356
01d,35a
01d,365
01d,369
01d,36c
01d,371
01d,387
01d,38b
01d,38e
01d,393
01d,39a
01d,3a9
01d,44a
01d,464
01d,46e
01d,4cb
01d,4e5
01d,4e9
01d,4ec
01d,4f1
01d,54e
01d,55a
01d,56c
01d,647
01d,64b
01d,64e
01d,653
01d,665
01d,68b
01d,6a5
01d,70e
02d,042
02d,050
02d,053
02d,05a
02d,072
02d,0c3
02d,0ca
02d,0d1
02d,0d8
02d,0db
02d,0e2
02d,0f3
02d,0fa
02d,11a
02d,146
02d,14a
02d,151
02d,157
02d,158
02d,15b
02d,15e
02d,17a
02d,18a
