left,right
005,0fa
005,1da
005,2da
005,2ea
005,2f2
005,35a
005,372
005,39a
005,3aa
005,4da
005,4f2
005,59a
006,0f9
006,179
006,1d9
006,1e9
006,2d9
006,2e9
006,2f1
006,359
006,369
006,371
006,399
006,3a9
006,4d9
006,4e9
006,4f1
006,559
006,599
009,276
009,2d6
009,2e6
009,2f2
009,356
009,372
009,4d6
009,4f2
009,656
009,696
009,6a6
009,716
00a,275
00a,2d5
00a,2e5
00a,2f1
00a,355
00a,365
00a,371
00a,475
00a,4d5
00a,4e5
00a,4f1
00a,555
00a,655
00a,665
00a,695
00a,6a5
00a,715
00c,0f3
00c,1d3
00c,273
00c,2b3
00c,2d3
00c,2e3
00c,2f1
00c,2f2
00c,353
00c,371
00c,372
00c,393
00c,4d3
00c,4f1
00c,4f2
00c,653
00c,693
00f,2f1
00f,2f2
00f,371
00f,372
00f,4f1
00f,4f2
011,2ae
011,2ce
011,2e6
011,2ea
011,2ec
011,38e
011,3aa
011,68e
011,6a6
012,0ed
012,1cd
012,1e9
012,26d
012,2ad
012,2cd
012,2e5
012,2e9
012,2ec
012,32d
012,34d
012,365
012,369
012,38d
012,3a9
012,4ad
012,4cd
012,4e5
012,4e9
012,58d
012,64d
012,665
012,68d
012,6a5
012,70d
017,0e8
017,1e9
017,2e9
017,2ea
017,2ec
017,369
017,3a9
017,3aa
017,4e9
01b,264
01b,2e5
01b,2e6
01b,2ec
01b,365
01b,4e5
01b,665
01b,6a5
01b,6a6
01d,0e2
01d,262
01d,2a2
01d,2e3
01d,2e6
01d,2ea
01d,2f2
01d,372
01d,3aa
01d,4f2
01d,6a6
01e,0e1
01e,1e9
01e,261
01e,2a1
01e,2e3
01e,2e5
01e,2e9
01e,2f1
01e,365
01e,369
01e,371
01e,3a9
01e,4e5
01e,4e9
01e,4f1
01e,665
01e,6a5
02d,0d2
02d,152
02d,1d3
02d,1da
02d,252
02d,292
02d,2d3
02d,2d6
02d,2da
02d,2f2
02d,312
02d,353
02d,356
02d,35a
02d,372
02d,393
02d,39a
02d,452
02d,492
02d,4d3
02d,4d6
02d,4da
02d,4f2
02d,59a
02d,653
02d,656
02d,693
02d,696
02d,716
041,29e
041,2ae
041,31e
041,38e
041,39a
041,3aa
041,49e
041,59a
041,68e
041,696
041,6a6
041,716
042,29d
042,2ad
042,31d
042,32d
042,38d
042,399
042,3a9
042,49d
042,4ad
042,51d
042,58d
042,599
042,68d
042,695
042,6a5
042,70d
042,715
044,0bb
044,19b
044,29b
044,2ab
044,2b3
044,31b
044,38b
044,393
044,399
044,39a
044,3a9
044,3aa
044,49b
044,599
044,59a
044,68b
044,693
047,399
047,39a
047,3a9
047,3aa
047,599
047,59a
048,237
048,297
048,2a7
048,2b3
048,317
048,387
048,393
048,497
048,617
048,687
048,693
048,695
048,696
048,6a5
048,6a6
048,715
048,716
04b,695
04b,696
04b,6a5
04b,6a6
04b,715
04b,716
04d,292
04d,2a2
04d,2b3
04d,2f2
04d,312
04d,372
04d,393
04d,39a
04d,3aa
04d,492
04d,4f2
04d,59a
04d,693
04d,696
04d,6a6
04d,716
050,0af
050,18f
050,22f
050,28f
050,2a7
050,2ab
050,2ad
050,2ae
050,30f
050,32d
050,387
050,38b
050,38d
050,38e
050,3a9
050,3aa
050,48f
050,4ad
050,58d
050,60f
050,687
050,68b
050,68d
050,68e
050,6a5
050,6a6
050,70d
053,28c
053,2ad
053,2ae
053,2ec
053,30c
053,32d
053,38d
053,38e
053,3a9
053,3aa
053,48c
053,4ad
053,58d
053,68d
053,68e
053,6a5
053,6a6
053,70d
055,0aa
055,18a
055,28a
055,2a2
055,2ab
055,2ae
055,2ea
055,30a
055,38b
055,38e
055,39a
055,3a9
055,3aa
055,48a
055,59a
055,68b
055,68e
055,6a6
056,0a9
056,189
056,1e9
056,289
056,2a1
056,2ab
056,2ad
056,2e9
056,309
056,32d
056,369
056,38b
056,38d
056,399
056,3a9
056,3aa
056,489
056,4ad
056,4e9
056,58d
056,599
056,68b
056,68d
056,6a5
056,70d
059,226
059,286
059,2a2
059,2a7
059,2ae
059,2e6
059,306
059,387
059,38e
059,3aa
059,486
059,606
059,687
059,68e
059,696
059,6a5
059,6a6
059,716
05a,225
05a,285
05a,2a1
05a,2a7
05a,2ad
05a,2e5
05a,305
05a,32d
05a,365
05a,387
05a,38d
05a,3a9
05a,485
05a,4ad
05a,4e5
05a,58d
05a,605
05a,665
05a,687
05a,68d
05a,695
05a,6a5
05a,6a6
05a,70d
05a,715
05c,283
05c,2a1
05c,2a2
05c,2a7
05c,2ab
05c,2b3
05c,2e3
05c,387
05c,38b
05c,393
05c,3a9
05c,3aa
05c,687
05c,68b
05c,693
05c,6a5
05c,6a6
05f,2a1
05f,2a2
05f,3a9
05f,3aa
05f,6a5
05f,6a6
060,09f
060,11f
060,18f
060,19b
060,21f
060,28f
060,297
060,29b
060,29d
060,29e
060,30f
060,317
060,31b
