left,right
005,0fa
005,1ea
005,2da
005,2ea
005,2f2
005,36a
005,372
005,39a
005,3aa
005,4ea
005,4f2
006,0f9
006,179
006,1d9
006,1e9
006,2d9
006,2e9
006,2f1
006,359
006,369
006,371
006,399
006,3a9
006,4d9
006,4e9
006,4f1
006,599
009,276
009,2d6
009,2e6
009,2f2
009,366
009,372
009,4e6
009,4f2
009,666
009,696
009,6a6
00a,275
00a,2d5
00a,2e5
00a,2f1
00a,355
00a,365
00a,371
00a,475
00a,4d5
00a,4e5
00a,4f1
00a,655
00a,665
00a,695
00a,6a5
00a,715
00c,0f3
00c,1d3
00c,273
00c,2b3
00c,2d3
00c,2e3
00c,2f1
00c,2f2
00c,353
00c,371
00c,372
00c,393
00c,4d3
00c,4f1
00c,4f2
00c,653
00c,693
00f,2f1
00f,2f2
00f,371
00f,372
00f,4f1
00f,4f2
011,0ee
011,1ea
011,26e
011,2ae
011,2ce
011,2e6
011,2ea
011,2ec
011,32e
011,366
011,36a
011,36c
011,38e
011,3aa
011,4ae
011,4e6
011,4ea
011,4ec
011,666
011,68e
011,6a6
012,0ed
012,16d
012,1cd
012,1e9
012,26d
012,2ad
012,2cd
012,2e5
012,2e9
012,2ec
012,32d
012,34d
012,365
012,369
012,36c
012,38d
012,3a9
012,46d
012,4ad
012,4cd
012,4e5
012,4e9
012,4ec
012,58d
012,64d
012,665
012,68d
012,6a5
012,70d
017,0e8
017,168
017,1e9
017,1ea
017,2e9
017,2ea
017,2ec
017,369
017,36a
017,36c
017,3a9
017,3aa
017,4e9
017,4ea
017,4ec
01b,264
01b,2e5
01b,2e6
01b,2ec
01b,365
01b,366
01b,36c
01b,464
01b,4e5
01b,4e6
01b,4ec
01b,665
01b,666
01b,6a5
01b,6a6
01d,0e2
01d,1ea
01d,262
01d,2a2
01d,2e3
01d,2e6
01d,2ea
01d,2f2
01d,366
01d,36a
01d,372
01d,3aa
01d,4e6
01d,4ea
01d,4f2
01d,666
01d,6a6
02d,0d2
02d,1d3
02d,252
02d,292
02d,2d3
02d,2d6
02d,2da
02d,2f2
02d,312
02d,353
02d,372
02d,393
02d,39a
02d,492
02d,4d3
02d,4f2
02d,653
02d,693
02d,696
02e,0d1
02e,151
02e,1d3
02e,1d9
02e,251
02e,291
02e,2d3
02e,2d5
02e,2d9
02e,2f1
02e,311
02e,353
02e,355
02e,359
02e,371
02e,393
02e,399
02e,451
02e,491
02e,4d3
02e,4d5
02e,4d9
02e,4f1
02e,599
02e,653
02e,655
02e,693
02e,695
02e,715
041,29e
041,2ae
041,32e
041,38e
041,39a
041,3aa
041,4ae
041,68e
041,696
041,6a6
042,29d
042,2ad
042,31d
042,32d
042,38d
042,399
042,3a9
042,49d
042,4ad
042,58d
042,599
042,68d
042,695
042,6a5
042,70d
042,715
044,0bb
044,19b
044,29b
044,2ab
044,2b3
044,31b
044,38b
044,393
044,399
044,39a
044,3a9
044,3aa
044,49b
044,599
044,68b
044,693
047,399
047,39a
047,3a9
047,3aa
047,599
048,237
048,297
048,2a7
048,2b3
048,317
048,387
048,393
048,497
048,617
048,687
048,693
048,695
048,696
048,6a5
048,6a6
048,715
04b,695
04b,696
04b,6a5
04b,6a6
04b,715
04d,292
04d,2a2
04d,2b3
04d,2f2
04d,312
04d,372
04d,393
04d,39a
04d,3aa
04d,492
04d,4f2
04d,693
04d,696
04d,6a6
050,0af
050,18f
050,22f
050,28f
050,2a7
050,2ab
050,2ad
050,2ae
050,30f
050,32d
050,32e
050,387
050,38b
050,38d
050,38e
050,3a9
050,3aa
050,48f
050,4ad
050,4ae
050,58d
050,60f
050,687
050,68b
050,68d
050,68e
050,6a5
050,6a6
050,70d
053,28c
053,2ad
053,2ae
053,2ec
053,30c
053,32d
053,32e
053,36c
053,38d
053,38e
053,3a9
053,3aa
053,48c
053,4ad
053,4ae
053,4ec
053,58d
053,68d
053,68e
053,6a5
053,6a6
053,70d
055,0aa
055,18a
055,1ea
055,28a
055,2a2
055,2ab
055,2ae
055,2ea
055,30a
055,32e
055,36a
055,38b
055,38e
055,39a
055,3a9
055,3aa
055,48a
055,4ae
055,4ea
055,68b
055,68e
055,6a6
059,226
059,286
059,2a2
059,2a7
059,2ae
059,2e6
059,306
059,32e
059,366
059,387
059,38e
059,3aa
059,486
059,4ae
059,4e6
059,606
059,666
059,687
059,68e
059,696
059,6a5
059,6a6
060,09f
060,18f
060,19b
060,21f
060,28f
060,297
060,29b
060,29d
060,29e
060,30f
060,317
060,31b
060,31d
060,387
060,38b
060,38d
060,38e
060,393
060,399
060,39a
060,48f
060,497
060,49b
060,49d
060,58d
060,599
060,60f
060,617
060,687
060,68b
060,68d
060,68e
060,693
060,695
060,696
060,70d
060,715
065,09a
065,18a
065,19b
065,28a
065,292
065,29b
065,29e
065,2da
065,30a
065,312
065,31b
065,38b
065,38e
065,393
065,399
065,39a
065,3aa
065,48a
065,492
065,49b
065,599
065,68b
065,68e
065,693
065,696
066,099
066,119
066,189
066,19b
066,1d9
066,289
066,291
066,29b
066,29d
066,2d9
066,309
066,311
066,31b
066,31d
066,359
066,38b
066,38d
066,393
066,399
066,39a
066,3a9
066,489
066,491
066,49b
066,49d
066,4d9
066,58d
066,599
066,68b
066,68d
066,693
066,695
066,70d
066,715
069,216
069,286
069,292
069,297
069,29e
069,2d6
069,306
069,312
069,317
069,387
069,38e
069,393
069,39a
069,486
069,492
069,497
069,606
069,617
069,687
069,68e
069,693
069,695
069,696
069,6a6
069,715
06a,215
06a,285
06a,291
06a,297
06a,29d
06a,2d5
06a,305
06a,311
06a,317
06a,31d
06a,355
06a,387
06a,38d
06a,393
06a,399
06a,415
06a,485
06a,491
06a,497
06a,49d
06a,4d5
06a,58d
06a,599
06a,605
06a,617
06a,655
06a,687
06a,68d
06a,693
06a,695
06a,696
06a,6a5
06a,70d
06a,715
06c,093
06c,19b
06c,1d3
06c,213
06c,283
06c,291
06c,292
06c,297
06c,29b
06c,2b3
06c,2d3
06c,311
06c,312
06c,317
06c,31b
06c,353
06c,387
06c,38b
06c,393
06c,399
06c,39a
06c,491
06c,492
06c,497
06c,49b
06c,4d3
06c,599
06c,617
06c,653
06c,687
06c,68b
06c,693
06c,695
06c,696
06c,715
06f,291
06f,292
06f,311
06f,312
06f,393
06f,399
06f,39a
06f,491
