left,right
005,0fa
005,17a
005,1da
005,1ea
005,2da
005,2ea
005,2f2
005,35a
005,36a
005,372
005,39a
005,3aa
005,4f2
005,55a
009,276
009,2d6
009,2e6
009,2f2
009,356
009,366
009,372
009,476
009,4f2
009,556
009,656
009,666
009,716
011,16e
011,1ea
011,26e
011,2e6
011,2ea
011,2ec
011,32e
011,34e
011,366
011,36a
011,36c
011,3aa
011,56c
011,666
012,0ed
012,16d
012,1cd
012,1e9
012,26d
012,2ad
012,2cd
012,2e5
012,2e9
012,2ec
012,32d
012,34d
012,365
012,369
012,36c
012,38d
012,3a9
012,46d
012,4e5
012,4e9
012,54d
012,56c
012,64d
012,665
012,6a5
012,70d
017,0e8
017,168
017,1e9
017,1ea
017,2e9
017,2ea
017,2ec
017,369
017,36a
017,36c
017,3a9
017,3aa
017,4e9
017,56c
01b,264
01b,2e5
01b,2e6
01b,2ec
01b,365
01b,366
01b,36c
01b,464
01b,4e5
01b,56c
01b,665
01b,666
01b,6a5
01d,0e2
01d,1ea
01d,262
01d,2a2
01d,2e3
01d,2e6
01d,2ea
01d,2f2
01d,366
01d,36a
01d,372
01d,3aa
01d,4f2
01d,666
02d,0d2
02d,152
02d,1d3
02d,1da
02d,252
02d,292
02d,2d3
02d,2d6
02d,2da
02d,2f2
02d,312
02d,353
02d,356
02d,35a
02d,372
02d,393
02d,39a
02d,452
02d,4d3
02d,4f2
02d,556
02d,55a
02d,653
02d,656
02d,693
02d,716
041,31e
041,32e
041,39a
041,3aa
041,716
042,29d
042,2ad
042,31d
042,32d
042,38d
042,399
042,3a9
042,51d
042,599
042,695
042,6a5
042,70d
042,715
044,0bb
044,19b
044,29b
044,2ab
044,2b3
044,31b
044,38b
044,393
044,399
044,39a
044,3a9
044,3aa
044,599
044,693
047,399
047,39a
047,3a9
047,3aa
047,599
048,237
048,297
048,2a7
048,2b3
048,317
048,387
048,393
048,617
048,693
048,695
048,6a5
048,715
048,716
04b,695
04b,6a5
04b,715
04b,716
04d,292
04d,2a2
04d,2b3
04d,2f2
04d,312
04d,372
04d,393
04d,39a
04d,3aa
04d,4f2
04d,693
04d,716
050,22f
050,2a7
050,2ab
050,2ad
050,30f
050,32d
050,32e
050,387
050,38b
050,38d
050,3a9
050,3aa
050,6a5
050,70d
053,2ad
053,2ec
053,30c
053,32d
053,32e
053,36c
053,38d
053,3a9
053,3aa
053,56c
053,6a5
053,70d
055,1ea
055,2a2
055,2ab
055,2ea
055,30a
055,32e
055,36a
055,38b
055,39a
055,3a9
055,3aa
056,0a9
056,189
056,1e9
056,289
056,2a1
056,2ab
056,2ad
056,2e9
056,309
056,32d
056,369
056,38b
056,38d
056,399
056,3a9
056,3aa
056,4e9
056,599
056,6a5
056,70d
059,226
059,2a2
059,2a7
059,2e6
059,306
059,32e
059,366
059,387
059,3aa
059,666
059,6a5
059,716
05a,225
05a,285
05a,2a1
05a,2a7
05a,2ad
05a,2e5
05a,305
05a,32d
05a,365
05a,387
05a,38d
05a,3a9
05a,4e5
05a,605
05a,665
05a,695
05a,6a5
05a,70d
05a,715
05c,283
05c,2a1
05c,2a2
05c,2a7
05c,2ab
05c,2b3
05c,2e3
05c,387
05c,38b
05c,393
05c,3a9
05c,3aa
05c,693
05c,6a5
05f,2a1
05f,2a2
05f,3a9
05f,3aa
05f,6a5
060,11f
060,19b
060,21f
060,297
060,29b
060,29d
060,30f
060,317
060,31b
060,31d
060,31e
060,387
060,38b
060,38d
060,393
060,399
060,39a
060,51d
060,599
060,617
060,693
060,695
060,70d
060,715
060,716
065,11a
065,19b
065,1da
065,292
065,29b
065,2da
065,30a
065,312
065,31b
065,31e
065,35a
065,38b
065,393
065,399
065,39a
065,3aa
065,55a
065,599
065,693
065,716
066,099
066,119
066,189
066,19b
066,1d9
066,289
066,291
066,29b
066,29d
066,2d9
066,309
066,311
066,31b
066,31d
066,359
066,38b
066,38d
066,393
066,399
066,39a
066,3a9
066,491
066,4d9
066,51d
066,559
066,599
066,693
066,695
066,70d
066,715
069,216
069,292
069,297
069,2d6
069,306
069,312
069,317
069,31e
069,356
069,387
069,393
069,39a
069,556
069,617
069,656
069,693
069,695
069,715
069,716
06a,215
06a,285
06a,291
06a,297
06a,29d
06a,2d5
06a,305
06a,311
06a,317
06a,31d
06a,355
06a,387
06a,38d
06a,393
06a,399
06a,415
06a,491
06a,4d5
06a,51d
06a,555
06a,599
06a,605
06a,617
06a,655
06a,693
06a,695
06a,6a5
06a,70d
06a,715
06a,716
06c,093
06c,19b
06c,1d3
06c,213
06c,283
06c,291
06c,292
06c,297
06c,29b
06c,2b3
06c,2d3
06c,311
06c,312
06c,317
06c,31b
06c,353
06c,387
06c,38b
06c,393
06c,399
06c,39a
06c,491
06c,4d3
06c,599
06c,617
06c,653
06c,693
06c,695
06c,715
06c,716
06f,291
06f,292
06f,311
06f,312
06f,393
06f,399
06f,39a
06f,491
06f,599
06f,693
06f,695
06f,715
06f,716
071,306
071,30a
071,30c
071,30f
071,31e
071,32e
071,34e
071,387
071,38b
071,38d
071,39a
071,3aa
071,70d
071,716
072,10d
072,189
072,1cd
072,20d
072,285
072,289
072,29d
072,2ad
072,2cd
072,305
072,309
072,30c
072,30f
072,31d
072,32d
072,34d
072,387
072,38b
072,38d
072,399
072,3a9
072,51d
072,54d
072,599
072,605
072,64d
072,695
072,6a5
072,70d
072,715
077,108
077,189
077,289
077,309
077,30a
077,30c
077,38b
077,38d
077,399
077,39a
077,3a9
077,3aa
077,599
077,70d
07b,204
07b,285
07b,305
07b,306
07b,30c
07b,387
07b,38d
07b,605
07b,695
07b,6a5
07b,70d
07b,715
07b,716
07d,202
07d,283
07d,292
07d,2a2
07d,306
07d,30a
07d,312
07d,387
07d,38b
07d,393
07d,39a
07d,3aa
07d,693
07d,716
07e,081
07e,189
07e,201
07e,283
07e,285
07e,289
07e,291
07e,2a1
07e,305
07e,309
07e,311
07e,387
07e,38b
07e,38d
07e,393
07e,399
07e,3a9
07e,491
07e,599
07e,605
07e,693
07e,695
07e,6a5
07e,70d
07e,715
081,15e
081,16e
081,17a
081,25e
081,26e
081,276
081,31e
081,32e
081,34e
081,356
081,35a
081,35c
081,366
081,36a
081,36c
081,372
081,476
081,556
081,55a
081,55c
081,56c
081,656
081,666
081,716
093,14c
093,168
093,16d
093,16e
093,24c
093,264
093,26d
093,26e
093,2ec
093,30c
093,32d
093,32e
093,34d
093,34e
093,35c
093,365
093,366
093,369
093,36a
093,36c
093,464
093,46d
093,54d
093,55c
093,56c
093,64d
093,665
093,666
093,70d
099,146
099,16e
099,226
099,246
099,262
099,264
099,267
099,26e
099,276
099,2e6
099,306
099,32e
099,347
099,34e
099,356
099,365
099,366
099,36a
099,36c
099,372
099,464
099,476
099,556
099,56c
099,647
099,656
099,665
099,666
099,716
0a9,146
0a9,152
0a9,157
0a9,15e
0a9,216
0a9,246
0a9,252
0a9,254
0a9,257
0a9,25e
0a9,276
0a9,2d6
0a9,306
0a9,312
0a9,317
0a9,31e
0a9,347
0a9,34e
0a9,353
0a9,355
0a9,356
0a9,35a
0a9,35c
0a9,366
0a9,372
0a9,452
0a9,454
0a9,457
0a9,476
0a9,555
0a9,556
0a9,55a
0a9,55c
0a9,617
0a9,647
0a9,653
0a9,655
0a9,656
0a9,666
0a9,715
0a9,716
0bb,145
0bb,146
0bb,14c
0bb,204
0bb,245
0bb,246
0bb,24c
0bb,254
0bb,264
0bb,305
0bb,306
0bb,30c
0bb,347
0bb,34d
0bb,34e
0bb,355
0bb,356
0bb,35c
0bb,365
0bb,366
0bb,36c
0bb,445
0bb,454
0bb,464
0bb,54d
0bb,555
0bb,556
0bb,55c
0bb,56c
0bb,605
0bb,647
0bb,64d
0bb,655
0bb,656
0bb,665
0bb,666
0bb,70d
0bb,715
0bb,716
0c3,30c
0c3,31d
0c3,31e
0c3,32d
0c3,32e
0c3,35c
0c3,36c
0c3,51d
0c3,55c
0c3,56c
0c3,70d
0c3,715
0c3,716
0c5,11a
0c5,17a
0c5,30a
0c5,312
0c5,31b
0c5,31e
0c5,32e
0c5,35a
0c5,36a
0c5,372
0c5,39a
0c5,3aa
0c5,55a
0c5,716
0c9,216
0c9,226
0c9,237
0c9,276
0c9,306
0c9,312
0c9,317
0c9,31e
0c9,32e
0c9,356
0c9,366
0c9,372
0c9,476
0c9,556
0c9,617
0c9,656
0c9,666
0c9,715
0c9,716
0d1,16e
0d1,226
0d1,22f
0d1,26e
0d1,306
0d1,30a
0d1,30c
0d1,30f
0d1,31e
0d1,32d
0d1,32e
0d1,34e
0d1,366
0d1,36a
0d1,36c
0d1,3aa
0d1,56c
0d1,666
0d1,70d
0d1,716
0d2,10d
0d2,16d
0d2,20d
0d2,225
0d2,22f
0d2,26d
0d2,2ad
0d2,305
0d2,309
0d2,30c
0d2,30f
0d2,31d
0d2,32d
0d2,32e
0d2,34d
0d2,365
0d2,369
0d2,36c
0d2,38d
0d2,3a9
0d2,46d
0d2,51d
0d2,54d
0d2,56c
0d2,605
0d2,64d
0d2,665
0d2,6a5
0d2,70d
0d2,715
0d7,108
0d7,168
0d7,309
0d7,30a
0d7,30c
0d7,32d
0d7,32e
0d7,369
0d7,36a
0d7,36c
0d7,3a9
0d7,3aa
0d7,56c
0d7,70d
0d8,207
0d8,225
0d8,226
0d8,22f
0d8,237
0d8,267
0d8,2a7
0d8,305
0d8,306
0d8,30f
0d8,317
0d8,32d
0d8,32e
0d8,347
0d8,365
0d8,366
0d8,387
0d8,605
0d8,617
0d8,647
0d8,665
0d8,666
0d8,6a5
0d8,70d
0d8,715
0d8,716
0db,204
0db,225
0db,226
0db,264
0db,305
0db,306
0db,30c
0db,32d
0db,32e
0db,365
0db,366
0db,36c
0db,464
0db,56c
0db,605
0db,665
0db,666
0db,6a5
0db,70d
0db,715
0db,716
0dd,202
0dd,226
0dd,262
0dd,2a2
0dd,306
0dd,30a
0dd,312
0dd,32e
0dd,366
0dd,36a
0dd,372
0dd,3aa
0dd,666
0dd,716
0e1,11a
0e1,11f
0e1,15e
0e1,216
0e1,21f
0e1,25e
0e1,306
0e1,30a
0e1,30c
0e1,30f
0e1,312
0e1,317
0e1,31b
0e1,31d
0e1,31e
0e1,32e
0e1,34e
0e1,356
0e1,35a
0e1,35c
0e1,39a
0e1,51d
0e1,556
0e1,55a
0e1,55c
0e1,617
0e1,656
0e1,70d
0e1,715
0e1,716
0e2,10d
0e2,119
0e2,11f
0e2,15d
0e2,20d
0e2,215
0e2,21f
0e2,25d
0e2,29d
0e2,305
0e2,309
0e2,30c
0e2,30f
0e2,311
0e2,317
0e2,31b
0e2,31d
0e2,31e
0e2,32d
0e2,34d
0e2,355
0e2,359
0e2,35c
0e2,38d
0e2,399
0e2,415
0e2,45d
0e2,51d
0e2,54d
0e2,555
0e2,559
0e2,55c
0e2,599
0e2,605
0e2,617
0e2,64d
0e2,655
0e2,695
0e2,70d
0e2,715
0e2,716
0e7,108
0e7,119
0e7,11a
0e7,158
0e7,309
0e7,30a
0e7,30c
0e7,311
0e7,312
0e7,31b
0e7,31d
0e7,31e
0e7,359
0e7,35a
0e7,35c
0e7,399
0e7,39a
0e7,51d
0e7,559
0e7,55a
0e7,55c
0e7,599
0e7,70d
0e7,715
0e7,716
0e8,11f
0e8,157
0e8,207
0e8,213
0e8,215
0e8,216
0e8,21f
0e8,237
0e8,257
0e8,297
0e8,305
0e8,306
0e8,30f
0e8,311
0e8,312
0e8,317
0e8,31b
0e8,31d
0e8,31e
0e8,347
0e8,353
0e8,355
0e8,356
0e8,387
0e8,393
0e8,415
0e8,457
0e8,51d
0e8,555
0e8,556
0e8,605
0e8,617
0e8,647
0e8,653
0e8,655
0e8,656
0e8,693
0e8,695
0e8,70d
0e8,715
0e8,716
0eb,204
0eb,215
0eb,216
0eb,254
0eb,305
0eb,306
0eb,30c
0eb,311
0eb,312
0eb,317
0eb,31d
0eb,31e
0eb,355
0eb,356
0eb,35c
0eb,415
0eb,454
0eb,51d
0eb,555
0eb,556
0eb,55c
0eb,605
0eb,617
0eb,655
0eb,656
0eb,695
0eb,70d
0eb,715
0eb,716
0ed,11a
0ed,152
0ed,202
0ed,213
0ed,216
0ed,252
0ed,292
0ed,306
0ed,30a
0ed,311
0ed,312
0ed,317
0ed,31b
0ed,31e
0ed,353
0ed,356
0ed,35a
0ed,372
0ed,393
0ed,39a
0ed,452
0ed,556
0ed,55a
0ed,617
0ed,653
0ed,656
0ed,693
0ed,715
0ed,716
0f3,108
0f3,10d
0f3,14c
0f3,204
0f3,20d
0f3,24c
0f3,305
0f3,306
0f3,309
0f3,30a
0f3,30c
0f3,30f
0f3,31d
0f3,31e
0f3,32d
0f3,32e
0f3,34d
0f3,34e
0f3,35c
0f3,36c
0f3,38d
0f3,51d
0f3,54d
0f3,55c
0f3,56c
0f3,605
0f3,64d
0f3,70d
0f3,715
0f3,716
0f9,146
0f9,202
0f9,204
0f9,207
0f9,216
0f9,226
0f9,246
0f9,305
0f9,306
0f9,30a
0f9,30c
0f9,30f
0f9,312
0f9,317
0f9,31e
0f9,32e
0f9,347
0f9,34e
0f9,356
0f9,366
0f9,387
0f9,556
0f9,605
0f9,617
0f9,647
0f9,656
0f9,666
0f9,70d
0f9,715
0f9,716
0fa,10d
0fa,145
0fa,201
0fa,204
0fa,207
0fa,20d
0fa,215
0fa,225
0fa,245
0fa,285
0fa,305
0fa,306
0fa,309
0fa,30c
0fa,30f
0fa,311
0fa,317
0fa,31d
0fa,32d
0fa,347
0fa,34d
0fa,355
0fa,365
0fa,387
0fa,38d
0fa,415
0fa,445
0fa,51d
0fa,54d
0fa,555
0fa,605
0fa,617
0fa,647
0fa,64d
0fa,655
0fa,665
0fa,695
0fa,6a5
0fa,70d
0fa,715
0fa,716
108,237
108,257
108,267
108,273
108,275
108,276
108,297
108,2a7
108,2b3
108,2c7
108,2d3
108,2d5
108,2d6
108,2e3
108,2e5
108,2e6
108,2f1
108,2f2
108,457
108,475
108,476
108,4d3
108,4d5
108,4e5
108,4f1
108,4f2
108,617
108,647
108,653
108,655
108,656
108,665
108,666
108,693
108,695
108,6a5
10d,252
10d,262
10d,273
10d,276
10d,292
10d,2a2
10d,2b3
10d,2d3
10d,2d6
10d,2da
10d,2e3
10d,2e6
10d,2ea
10d,2f1
10d,2f2
10d,372
10d,452
10d,476
10d,4d3
10d,4f1
10d,4f2
10d,653
10d,656
10d,666
10d,693
119,226
119,246
119,262
119,264
119,267
119,26e
119,276
119,2a2
119,2a7
119,2c7
119,2d6
119,2e3
119,2e5
119,2e6
119,2ea
119,2ec
119,2f2
119,366
119,464
119,476
119,4e5
119,4f2
119,647
119,656
119,665
119,666
119,6a5
11a,225
11a,245
11a,261
11a,264
11a,267
11a,26d
11a,275
11a,285
11a,2a1
11a,2a7
11a,2ad
11a,2c7
11a,2cd
11a,2d5
11a,2e3
11a,2e5
11a,2e6
11a,2e9
11a,2ec
11a,2f1
11a,365
11a,445
11a,464
11a,46d
11a,475
11a,4d5
11a,4e5
11a,4e9
11a,4f1
11a,605
11a,647
11a,64d
11a,655
11a,665
11a,666
11a,695
11a,6a5
11f,261
11f,262
11f,264
11f,2a1
11f,2a2
11f,2e3
11f,2e5
11f,2e6
11f,2e9
11f,2ea
11f,2ec
11f,2f1
11f,2f2
11f,464
11f,4e5
11f,4e9
11f,4f1
11f,4f2
11f,665
11f,666
11f,6a5
145,292
145,29b
145,2a2
145,2ab
145,2b3
145,2da
145,2ea
145,2f2
145,39a
145,3aa
145,4f2
145,693
146,289
146,291
146,29b
146,29d
146,2a1
146,2ab
146,2ad
146,2b3
146,2d9
146,2e9
146,2f1
146,399
146,3a9
146,491
146,4d9
146,4e9
146,4f1
146,599
146,693
146,695
146,6a5
149,216
149,226
149,237
149,276
149,292
149,297
149,2a2
149,2a7
149,2b3
149,2d6
149,2e6
149,2f2
149,476
149,4f2
149,617
149,656
149,666
149,693
149,695
149,6a5
149,716
14a,215
14a,225
14a,237
14a,275
14a,285
14a,291
14a,297
14a,29d
14a,2a1
14a,2a7
14a,2ad
14a,2b3
14a,2d5
14a,2e5
14a,2f1
14a,415
14a,475
14a,491
14a,4d5
14a,4e5
14a,4f1
14a,605
14a,617
14a,655
14a,665
14a,693
14a,695
14a,6a5
14a,715
14c,213
14c,237
14c,273
14c,283
14c,291
14c,292
14c,297
14c,29b
14c,2a1
14c,2a2
14c,2a7
14c,2ab
14c,2b3
14c,2d3
14c,2e3
14c,2f1
14c,2f2
14c,393
14c,491
14c,4d3
14c,4f1
14c,4f2
14c,617
14c,653
14c,693
14c,695
14c,6a5
14f,291
14f,292
14f,2a1
14f,2a2
14f,2b3
14f,2f1
14f,2f2
14f,491
14f,4f1
14f,4f2
14f,693
14f,695
14f,6a5
151,226
151,22f
151,26e
151,2a2
151,2a7
151,2ab
151,2ad
151,2e6
151,2ea
151,2ec
151,32e
151,3aa
151,666
151,6a5
152,20d
152,225
152,22f
152,26d
152,285
152,289
152,29d
152,2a1
152,2a7
152,2ab
152,2ad
152,2cd
152,2e5
152,2e9
152,2ec
152,32d
152,38d
